business_description,domain_name,complexity,relevance,diversity,originality,overall_score
global sphere software company in neighborhood with focus on sustainability,globalspherehub.org,complex,0.5540032386779785,0.07101282477378845,0.8181818181818181,0.4810659655115821
global sphere software company in neighborhood with focus on sustainability,globalspherehub.io,complex,0.49687230587005615,0.07101282477378845,0.8181818181818181,0.46202232620932837
global sphere software company in neighborhood with focus on sustainability,globalspherehub.net,complex,0.5220192670822144,0.07101282477378845,0.8181818181818181,0.4704046466133811
ethereal clothing boutique,etherealclothgstore.org,simple,0.7074393033981323,0.10711199045181274,0.8333333333333334,0.5492948757277595
ethereal clothing boutique,etherealclothgspot.net,simple,0.64784836769104,0.10711199045181274,0.8333333333333334,0.5294312404261695
ethereal clothing boutique,etherealclothgworks.net,simple,0.6820300817489624,0.10711199045181274,0.8333333333333334,0.5408251451121436
smart online store,smartonlesolutions.net,simple,0.4817492365837097,0.2687583863735199,0.8333333333333334,0.5279469953642951
smart online store,smartonlestudio.com,simple,0.568024754524231,0.2687583863735199,0.8333333333333334,0.5567054914103614
smart online store,smartonlehub.com,simple,0.6553657054901123,0.2687583863735199,0.8333333333333334,0.5858191417323219
bright coffee shop in neighborhood,brightcoffeehub.org,medium,0.4730716049671173,0.25486353039741516,0.6666666666666667,0.4648672772778405
bright coffee shop in neighborhood,brightcoffeehub.co,medium,0.5057563781738281,0.25486353039741516,0.6666666666666667,0.47576220168007743
bright coffee shop in neighborhood,brightcoffeesolutions.net,medium,0.4465739130973816,0.25486353039741516,0.6666666666666667,0.45603471828831565
dynamic pet store,dynamicpetstoreworks.org,simple,0.6015386581420898,0.06405872106552124,0.25,0.3051991214354833
dynamic pet store,dynamicpetstorelab.org,simple,0.5898966789245605,0.06405872106552124,0.25,0.3013184716304143
dynamic pet store,dynamicpetstorelab.com,simple,0.5625131726264954,0.06405872106552124,0.25,0.2921906312306722
global toy store in neighborhood,globaltoyshop.org,medium,0.5078281164169312,0.3305773437023163,0.6666666666666667,0.5016906989945306
global toy store in neighborhood,globaltoystore.io,medium,0.4191817343235016,0.3305773437023163,0.4,0.38325303097565966
global toy store in neighborhood,globaltoyhub.io,medium,0.3275303244590759,0.3305773437023163,0.6666666666666667,0.44159145487679374
quantum sphere consulting firm in city center for busy professionals,quantumspherestore.org,complex,0.49368125200271606,0.13484777510166168,0.8181818181818181,0.4822369583628394
quantum sphere consulting firm in city center for busy professionals,quantumsphereshop.io,complex,0.5431759357452393,0.13484777510166168,0.8181818181818181,0.4987351813099601
quantum sphere consulting firm in city center for busy professionals,quantumspherestore.co,complex,0.5062743425369263,0.13484777510166168,0.8181818181818181,0.4864346601746299
modern toy store in neighborhood,moderntoystorelab.org,medium,0.39224526286125183,0.13805760443210602,0.5,0.3434342841307322
modern toy store in neighborhood,moderntoystorestore.com,medium,0.4586675763130188,0.13805760443210602,0.875,0.49057505528132117
modern toy store in neighborhood,moderntoystorelab.io,medium,0.3419702649116516,0.13805760443210602,0.5,0.3266759614149729
atomic cafe,atomiccafestore.io,simple,0.5613660216331482,0.18865078687667847,0.33333333333333337,0.36111671394772
atomic cafe,atomiccafestore.org,simple,0.5595773458480835,0.18865078687667847,0.33333333333333337,0.36052050358719295
atomic cafe,atomiccafesolutions.org,simple,0.4924185574054718,0.18865078687667847,0.33333333333333337,0.3381342358059353
stellar cafe in neighborhood,stellarcafehub.co,medium,0.5574023127555847,0.13979117572307587,0.6,0.4323978394269943
stellar cafe in neighborhood,stellarcafehub.net,medium,0.46860814094543457,0.13979117572307587,0.6,0.40279978215694423
stellar cafe in neighborhood,stellarcafehub.com,medium,0.4781878590583801,0.13979117572307587,0.6,0.4059930264949798
stellar law firm in city center,stellarlawspot.net,medium,0.6310080289840698,0.19541357457637787,0.7142857142857143,0.5135691307839894
stellar law firm in city center,stellarlawlab.com,medium,0.6931480169296265,0.19541357457637787,0.7142857142857143,0.5342824600991749
stellar law firm in city center,stellarlawcorner.io,medium,0.6577677726745605,0.19541357457637787,0.7142857142857143,0.5224890254792713
mythic restaurant in city center,mythicrestaurantstore.net,medium,0.5390880107879639,0.06476452946662903,0.6666666666666667,0.42350640727414024
mythic restaurant in city center,mythicrestaurantlab.com,medium,0.5092506408691406,0.06476452946662903,0.6666666666666667,0.4135606123341454
mythic restaurant in city center,mythicrestaurantspot.org,medium,0.4575141668319702,0.06476452946662903,0.6666666666666667,0.3963151259554757
smart toy store in city center,smarttoystudio.io,medium,0.23531530797481537,0.39476478099823,0.7142857142857143,0.4481219493207477
smart toy store in city center,smarttoystore.co,medium,0.5271801948547363,0.39476478099823,0.5,0.4739816586176554
smart toy store in city center,smarttoycorner.org,medium,0.4136459231376648,0.39476478099823,0.7142857142857143,0.5075654827413105
atomic coffee shop in near the river,atomiccoffeehub.net,medium,0.4428686499595642,0.2066248208284378,0.75,0.46649782359600067
atomic coffee shop in near the river,atomiccoffeestudio.com,medium,0.42659348249435425,0.2066248208284378,0.75,0.46107277274131775
atomic coffee shop in near the river,atomiccoffeespot.com,medium,0.46158361434936523,0.2066248208284378,0.75,0.4727361500263214
stellar realm law firm in city center for busy professionals,stellarrealmcorner.co,complex,0.4828994870185852,0.26905420422554016,0.8181818181818181,0.5233785130760886
stellar realm law firm in city center for busy professionals,stellarrealmstore.net,complex,0.4103810489177704,0.26905420422554016,0.8181818181818181,0.499205700375817
stellar realm law firm in city center for busy professionals,stellarrealmcorner.io,complex,0.37800300121307373,0.26905420422554016,0.8181818181818181,0.48841301284053107
streaming service,streamingsolutions.net,medium,0.7595553398132324,0.26209548115730286,0.6666666666666667,0.5627725256813897
streaming service,streamingstore.co,medium,0.7405200004577637,0.26209548115730286,0.6666666666666667,0.5564273728264703
streaming service,streamingstore.io,medium,0.7381452322006226,0.26209548115730286,0.6666666666666667,0.5556358231438531
eco-friendly tech startup,techstudio.net,simple,0.27442461252212524,0.443884015083313,0.8,0.5061028907696405
eco-friendly tech startup,techshop.org,simple,0.43709415197372437,0.443884015083313,0.8,0.5603260556856791
eco-friendly tech startup,techspot.co,simple,0.412956565618515,0.443884015083313,0.8,0.5522802035013834
atomic online store in near the river,atomiconlehub.com,medium,0.5631785988807678,0.12517225742340088,0.9,0.529450285434723
atomic online store in near the river,atomiconlehub.org,medium,0.49471381306648254,0.12517225742340088,0.9,0.5066286951303482
atomic online store in near the river,atomiconlebeans.org,medium,0.4461812376976013,0.12517225742340088,0.9,0.4904511749744415
stellar tech startup in neighborhood,stellartechspot.org,medium,0.6108236312866211,0.20294885337352753,0.6666666666666667,0.4934797419442071
stellar tech startup in neighborhood,stellartechstudio.co,medium,0.5535250902175903,0.20294885337352753,0.6666666666666667,0.4743802083863152
stellar tech startup in neighborhood,stellartechstore.org,medium,0.5587149858474731,0.20294885337352753,0.6666666666666667,0.47611017359627616
luminous studio clothing boutique in near the river offering premium services,luminousstudiohub.net,complex,0.3541247844696045,0.09927817434072495,0.8333333333333334,0.42891210483180153
luminous studio clothing boutique in near the river offering premium services,luminousstudiohub.com,complex,0.39383333921432495,0.09927817434072495,0.8333333333333334,0.4421482847796546
luminous studio clothing boutique in near the river offering premium services,luminousstudioworks.org,complex,0.3475821614265442,0.09927817434072495,0.8333333333333334,0.42673123048411477
cosmic educational platform,cosmiceducationalworks.com,simple,0.7430703639984131,0.14697515964508057,0.5,0.463348517815272
cosmic educational platform,cosmiceducationalstudio.co,simple,0.7243862748146057,0.14697515964508057,0.5,0.4571204880873362
cosmic educational platform,cosmiceducationalhub.co,simple,0.642970860004425,0.14697515964508057,0.5,0.42998201648394263
mythic tech startup in suburban area,mythictechlab.net,medium,0.6436441540718079,0.11660247296094894,0.7142857142857143,0.4915107928571247
mythic tech startup in suburban area,mythictechlab.org,medium,0.6622847318649292,0.11660247296094894,0.7142857142857143,0.49772430885405766
mythic tech startup in suburban area,mythictechshop.co,medium,0.6915039420127869,0.11660247296094894,0.7142857142857143,0.5074640654382252
organic medical clinic,organicmedicalstore.io,simple,0.6516777276992798,0.17770665884017944,0.5,0.4431281189123789
organic medical clinic,organicmedicalspot.co,simple,0.7207217216491699,0.17770665884017944,0.5,0.4661427835623423
organic medical clinic,organicmedicalstore.io,simple,0.6516777276992798,0.17770665884017944,0.5,0.4431281189123789
ethereal consulting firm in downtown,etherealconsultingstore.co,medium,0.4647982120513916,0.3256388008594513,0.6666666666666667,0.48570121659172905
ethereal consulting firm in downtown,etherealconsultingspot.io,medium,0.4166673421859741,0.3256388008594513,0.6666666666666667,0.4696576131714715
ethereal consulting firm in downtown,etherealconsultingstudio.org,medium,0.5285261273384094,0.3256388008594513,0.6666666666666667,0.5069438947571648
premium works consulting firm in downtown offering premium services,premiumworksstore.com,complex,0.3791854679584503,0.19392652809619904,0.7777777777777778,0.45029660121158316
premium works consulting firm in downtown offering premium services,premiumworksshop.io,complex,0.4409554600715637,0.19392652809619904,0.7777777777777778,0.47088659361556723
premium works consulting firm in downtown offering premium services,premiumworkshub.io,complex,0.4642314314842224,0.19392652809619904,0.7777777777777778,0.47864525572017386
arms platform,armsplatformspot.co,simple,0.6103304624557495,0.16974176466464996,0.33333333333333337,0.3711351818508572
arms platform,armsplatformspot.net,simple,0.5570753216743469,0.16974176466464996,0.33333333333333337,0.35338347322411007
arms platform,armsplatformstudio.io,simple,0.5820574760437012,0.16974176466464996,0.33333333333333337,0.3617108530468411
luminous fitness apparel in downtown,luminousfitnessstore.org,medium,0.40527626872062683,0.1374003291130066,0.6666666666666667,0.4031144215001
luminous fitness apparel in downtown,luminousfitnesslab.io,medium,0.3829992711544037,0.1374003291130066,0.6666666666666667,0.3956887556446923
luminous fitness apparel in downtown,luminousfitnesssolutions.org,medium,0.42391449213027954,0.1374003291130066,0.6666666666666667,0.4093271626366509
stellar law firm in suburban area,stellarlawstudio.org,medium,0.6744182109832764,0.19201351702213287,0.7142857142857143,0.526905819064095
stellar law firm in suburban area,stellarlawstore.com,medium,0.6226571202278137,0.19201351702213287,0.7142857142857143,0.5096521221456074
stellar law firm in suburban area,stellarlawstore.co,medium,0.6745233535766602,0.19201351702213287,0.7142857142857143,0.5269408665952229
innovative corner fitness studio in city center offering premium services,novativecornerhub.com,complex,0.1977623701095581,0.21238131821155548,0.9285714285714286,0.44623838719867526
innovative corner fitness studio in city center offering premium services,novativecornerhub.org,complex,0.18110626935958862,0.21238131821155548,0.9285714285714286,0.44068634864829836
innovative corner fitness studio in city center offering premium services,novativecornerspot.co,complex,0.1525004804134369,0.21238131821155548,0.9285714285714286,0.43115108069919406
premium sanctum music school in city center specializing in community events,premiumsanctumstudio.org,complex,0.5130283832550049,0.35500669479370117,0.8181818181818181,0.5620722987435081
premium sanctum music school in city center specializing in community events,premiumsanctumshop.com,complex,0.3684845566749573,0.35500669479370117,0.8181818181818181,0.513891033150933
premium sanctum music school in city center specializing in community events,premiumsanctumlab.net,complex,0.3021445870399475,0.35500669479370117,0.8181818181818181,0.49177770993926306
global music school in near the river,globalmusicstore.org,medium,0.4598938822746277,0.22591646015644073,0.75,0.47860345244407654
global music school in near the river,globalmusichub.co,medium,0.4930015802383423,0.22591646015644073,0.75,0.48963935673236847
global music school in near the river,globalmusicstudio.io,medium,0.47973334789276123,0.22591646015644073,0.75,0.4852166175842285
casino store,casinostorelab.org,simple,0.7698627710342407,0.07377629727125168,0.33333333333333337,0.39232415623135036
casino store,casinostoreworks.org,simple,0.7559905052185059,0.07377629727125168,0.33333333333333337,0.38770005769199795
casino store,casinostorecorner.org,simple,0.7837726473808289,0.07377629727125168,0.33333333333333337,0.3969607717461056
smart garden center in suburban area,smartgardensolutions.com,medium,0.5049986839294434,0.17426975071430206,0.7142857142857143,0.46451805461020695
smart garden center in suburban area,smartgardenshop.org,medium,0.4449943006038666,0.17426975071430206,0.7142857142857143,0.4445165835675739
smart garden center in suburban area,smartgardenspot.org,medium,0.46996307373046875,0.17426975071430206,0.7142857142857143,0.45283950794310796
quantum cafe,quantumcafestore.com,simple,0.59671550989151,0.21141910552978516,0.33333333333333337,0.3804893261856503
quantum cafe,quantumcafespot.com,simple,0.6227477192878723,0.21141910552978516,0.33333333333333337,0.3891667193836636
quantum cafe,quantumcafestudio.com,simple,0.557562530040741,0.21141910552978516,0.33333333333333337,0.36743832296795315
mythic clothing boutique,mythicclothgcorner.com,simple,0.6507246494293213,0.12940439581871033,0.8333333333333334,0.5378208027945625
mythic clothing boutique,mythicclothgstore.io,simple,0.7059996128082275,0.12940439581871033,0.8333333333333334,0.5562457905875312
mythic clothing boutique,mythicclothgshop.io,simple,0.7354261875152588,0.12940439581871033,0.8333333333333334,0.5660546587573158
bright medical clinic in city center,brightmedicalhub.com,medium,0.519871175289154,0.1990702748298645,0.7142857142857143,0.4777424030360721
bright medical clinic in city center,brightmedicalsolutions.com,medium,0.5297629833221436,0.1990702748298645,0.7142857142857143,0.48103967238040196
bright medical clinic in city center,brightmedicalbeans.co,medium,0.5264259576797485,0.1990702748298645,0.7142857142857143,0.4799273304996036
arms platform,armsplatformhub.org,complex,0.6099963784217834,0.21488922834396362,0.33333333333333337,0.3860729999012417
arms platform,armsplatformworks.io,complex,0.6245819330215454,0.21488922834396362,0.33333333333333337,0.3909348315662808
arms platform,armsplatformstore.org,complex,0.5206571221351624,0.21488922834396362,0.33333333333333337,0.3562932378715939
pirated service,piratedserviceshop.io,simple,0.8255592584609985,0.10535172373056412,0.33333333333333337,0.4214147693581051
pirated service,piratedservicespot.co,simple,0.8339000344276428,0.10535172373056412,0.33333333333333337,0.4241950280136532
pirated service,piratedserviceworks.io,simple,0.8169281482696533,0.10535172373056412,0.33333333333333337,0.4185377425617642
global coffee shop in downtown,globalcoffeehub.co,medium,0.5210899114608765,0.11766737699508667,0.6666666666666667,0.43514132334126365
global coffee shop in downtown,globalcoffeehub.io,medium,0.46076467633247375,0.11766737699508667,0.6666666666666667,0.41503292156590355
global coffee shop in downtown,globalcoffeehub.org,medium,0.4606179893016815,0.11766737699508667,0.6666666666666667,0.41498401595486534
cosmic cosmetics brand,cosmiccosmeticsstudio.com,simple,0.4147201180458069,0.20433183014392853,0.5,0.37301732103029883
cosmic cosmetics brand,cosmiccosmeticsworks.com,simple,0.4810307025909424,0.20433183014392853,0.5,0.3951208541790644
cosmic cosmetics brand,cosmiccosmeticslab.net,simple,0.5013582706451416,0.20433183014392853,0.5,0.4018967101971308
streaming marketplace,streamingcorner.net,complex,0.6542730331420898,0.2286587506532669,0.6666666666666667,0.5165328217877282
streaming marketplace,streaminglab.io,complex,0.623547375202179,0.2286587506532669,0.6666666666666667,0.5062909258736504
streaming marketplace,streamingworks.io,complex,0.6418759226799011,0.2286587506532669,0.6666666666666667,0.5124004615677727
stellar pet store in near the river,stellarpetstorestore.com,medium,0.5209762454032898,0.289468914270401,0.9,0.5701483964920044
stellar pet store in near the river,stellarpetstudio.io,medium,0.3130328357219696,0.289468914270401,0.75,0.45083391666412354
stellar pet store in near the river,stellarpetstorecorner.com,medium,0.5202663540840149,0.289468914270401,0.625,0.4782450993855794
premium forge pet store in suburban area offering premium services,premiumforgeworks.com,complex,0.39217597246170044,0.09849604964256287,0.8,0.4302240173021952
premium forge pet store in suburban area offering premium services,premiumforgeworks.net,complex,0.3962410092353821,0.09849604964256287,0.8,0.43157903949419657
premium forge pet store in suburban area offering premium services,premiumforgeworks.org,complex,0.4152233600616455,0.09849604964256287,0.8,0.4379064897696177
cosmic coffee shop,cosmiccoffeehub.org,simple,0.6665590405464172,0.25838503241539,0.5,0.47498137752215064
cosmic coffee shop,cosmiccoffeestudio.net,simple,0.5063779354095459,0.25838503241539,0.5,0.42158765594164527
cosmic coffee shop,cosmiccoffeestore.com,simple,0.6516348719596863,0.25838503241539,0.5,0.470006654659907
global cafe,globalcafebeans.io,simple,0.4541606307029724,0.37847331166267395,0.33333333333333337,0.38865578836864895
global cafe,globalcafestudio.org,simple,0.355150431394577,0.37847331166267395,0.33333333333333337,0.3556523687309689
global cafe,globalcafestore.com,simple,0.43194490671157837,0.37847331166267395,0.33333333333333337,0.3812505073017544
quantum art gallery in suburban area,quantumartstore.co,medium,0.5632599592208862,0.16711080074310303,0.7142857142857143,0.48155216801734196
quantum art gallery in suburban area,quantumartspot.io,medium,0.48346802592277527,0.16711080074310303,0.7142857142857143,0.4549548469838642
quantum art gallery in suburban area,quantumartstudio.org,medium,0.5540798306465149,0.16711080074310303,0.7142857142857143,0.4784921251592182
organic lab cosmetics brand in near the river specializing in community events,organiclabspot.com,complex,0.4977681040763855,0.21374118328094482,0.8333333333333334,0.5149475501643287
organic lab cosmetics brand in near the river specializing in community events,organiclabstore.org,complex,0.4430556893348694,0.21374118328094482,0.8333333333333334,0.4967100785838233
organic lab cosmetics brand in near the river specializing in community events,organiclabhub.io,complex,0.4091619849205017,0.21374118328094482,0.8333333333333334,0.48541216717825997
cosmic forge of premium online stores,cosmicforgeworks.net,medium,0.45308005809783936,0.21745266020298004,0.7142857142857143,0.4616061590966724
cosmic forge of premium online stores,cosmicforgebeans.co,medium,0.46435147523880005,0.21745266020298004,0.7142857142857143,0.4653632931766056
cosmic forge of premium online stores,cosmicforgeworks.org,medium,0.4583017826080322,0.21745266020298004,0.7142857142857143,0.46334673393340337
porn website,__BLOCKED__,medium,0.2752307057380676,0.0,1.0,0.4250769068797429
atomic cafe in near the river,atomiccafehub.com,medium,0.4429251253604889,0.10679247975349426,0.7142857142857143,0.42133445966811406
atomic cafe in near the river,atomiccafehub.org,medium,0.4467623829841614,0.10679247975349426,0.7142857142857143,0.42261354554267155
atomic cafe in near the river,atomiccafespot.com,medium,0.42827484011650085,0.10679247975349426,0.7142857142857143,0.4164510213193439
atomic online store,atomiconlecorner.org,simple,0.5358195900917053,0.19332726299762726,0.8333333333333334,0.5208267437087165
atomic online store,atomiconleshop.net,simple,0.6351816058158875,0.19332726299762726,0.8333333333333334,0.5539474056826698
atomic online store,atomiconlestudio.com,simple,0.6083635687828064,0.19332726299762726,0.8333333333333334,0.5450080500708686
dynamic fitness studio in downtown,dynamicfitnessstudio.io,medium,0.3841090202331543,0.30017054080963135,0.4,0.3614265402158101
dynamic fitness studio in downtown,dynamicfitnesshub.org,medium,0.4227491617202759,0.30017054080963135,0.6666666666666667,0.46319545639885795
dynamic fitness studio in downtown,dynamicfitnessstore.net,medium,0.3128991723060608,0.30017054080963135,0.6666666666666667,0.4265788031948937
vivid garden center in near the river,vividgardenspot.com,medium,0.3862875998020172,0.17868822813034058,0.75,0.43832528591156006
vivid garden center in near the river,vividgardenspot.net,medium,0.3671833872795105,0.17868822813034058,0.75,0.4319572150707245
vivid garden center in near the river,vividgardenspot.co,medium,0.39908158779144287,0.17868822813034058,0.75,0.4425899386405945
ethereal tech startup,etherealtechstore.io,simple,0.6596479415893555,0.2275775671005249,0.5,0.4624085227648417
ethereal tech startup,etherealtechspot.org,simple,0.7603956460952759,0.2275775671005249,0.5,0.4959910909334818
ethereal tech startup,etherealtechsolutions.com,simple,0.7012470364570618,0.2275775671005249,0.5,0.4762748877207438
bright cosmetics brand,brightcosmeticsstudio.org,simple,0.41724634170532227,0.2646693289279938,0.5,0.39397190014521277
bright cosmetics brand,brightcosmeticsstore.org,simple,0.5030578374862671,0.2646693289279938,0.5,0.4225757519404093
bright cosmetics brand,brightcosmeticsshop.org,simple,0.6244021058082581,0.2646693289279938,0.5,0.46302382151285804
cosmic forge educational platform in city center for busy professionals,cosmicforgehub.co,complex,0.49836114048957825,0.20303772389888763,0.8181818181818181,0.5065268941900947
cosmic forge educational platform in city center for busy professionals,cosmicforgeworks.net,complex,0.4998893737792969,0.20303772389888763,0.8181818181818181,0.5070363052866675
cosmic forge educational platform in city center for busy professionals,cosmicforgeworks.com,complex,0.4822726845741272,0.20303772389888763,0.8181818181818181,0.5011640854857184
cosmic restaurant in neighborhood,cosmicrestaurantstudio.io,medium,0.4050055742263794,0.10633405297994614,0.6,0.37044654488563533
cosmic restaurant in neighborhood,cosmicrestaurantspot.com,medium,0.41074061393737793,0.10633405297994614,0.6,0.37235821485519405
cosmic restaurant in neighborhood,cosmicrestaurantworks.org,medium,0.43233656883239746,0.10633405297994614,0.6,0.3795568764209747
ethereal educational platform in neighborhood,etheraleducationalworks.com,medium,0.453085720539093,0.2978177070617676,0.875,0.5419678191343943
ethereal educational platform in neighborhood,etheraleducationalhub.co,medium,0.42605435848236084,0.2978177070617676,0.875,0.5329573551813761
ethereal educational platform in neighborhood,etheraleducationalstore.org,medium,0.411739319562912,0.2978177070617676,0.875,0.5281856755415598
quantum toy store,quantumtoystudio.com,simple,0.5098346471786499,0.2299289107322693,0.5,0.4132545242706934
quantum toy store,quantumtoybeans.org,simple,0.5202736258506775,0.2299289107322693,0.5,0.41673419872919715
quantum toy store,quantumtoyhub.co,simple,0.5397821068763733,0.2299289107322693,0.5,0.4232370058695475
eco-friendly cosmetics brand in near the river,cosmeticsstore.com,medium,0.5109972357749939,0.1900184154510498,0.8888888888888888,0.5299681850053646
eco-friendly cosmetics brand in near the river,cosmeticslab.org,medium,0.5358628034591675,0.1900184154510498,0.8888888888888888,0.538256702599702
eco-friendly cosmetics brand in near the river,cosmeticsbeans.com,medium,0.5510973930358887,0.1900184154510498,0.8888888888888888,0.5433348991252758
cosmic fitness studio,cosmicfitnesscorner.org,simple,0.504439115524292,0.08139302581548691,0.5,0.36194404462973273
cosmic fitness studio,cosmicfitnessstudio.org,simple,0.5603609085083008,0.08139302581548691,0.0,0.21391798555850983
cosmic fitness studio,cosmicfitnesshub.net,simple,0.5763441920280457,0.08139302581548691,0.5,0.38591241339842475
global realm online store in city center offering premium services,globalrealmshop.org,complex,0.4779047966003418,0.17287792265415192,0.8181818181818181,0.48965486071326514
global realm online store in city center offering premium services,globalrealmshop.net,complex,0.48110178112983704,0.17287792265415192,0.8181818181818181,0.49072051725604315
global realm online store in city center offering premium services,globalrealmstore.com,complex,0.5386052131652832,0.17287792265415192,0.7,0.4704943885405858
global fitness apparel,globalfitnesshub.org,simple,0.3865688443183899,0.17654062807559967,0.5,0.35436982909838355
global fitness apparel,globalfitnesslab.co,simple,0.45798206329345703,0.17654062807559967,0.5,0.37817424039045966
global fitness apparel,globalfitnesshub.net,simple,0.3216109871864319,0.17654062807559967,0.5,0.3327172050873438
organic solutions cafe in downtown specializing in community events,organicsolutionsstore.com,complex,0.42150092124938965,0.19808180630207062,0.7777777777777778,0.465786835109746
organic solutions cafe in downtown specializing in community events,organicsolutionsstudio.co,complex,0.436872661113739,0.19808180630207062,0.7777777777777778,0.47091074839786246
organic solutions cafe in downtown specializing in community events,organicsolutionshub.net,complex,0.3873536288738251,0.19808180630207062,0.7777777777777778,0.45440440431789114
vivid cafe in downtown,vividcafestore.co,medium,0.5706146955490112,0.32493844628334045,0.6,0.4985177040100097
vivid cafe in downtown,vividcafeshop.co,medium,0.5661311149597168,0.32493844628334045,0.6,0.4970231771469116
vivid cafe in downtown,vividcafelab.org,medium,0.4002608060836792,0.32493844628334045,0.6,0.44173308908939357
